"","Muestra","n","Media","Varianza"
"1",1,4,5.75,1.58333333333333
"2",2,8,4.75,1.92857142857143
"3",3,5,6.2,5.2
"4",4,7,6.14285714285714,0.142857142857143
"5",5,5,6.4,1.3
"6",6,6,5.66666666666667,3.46666666666667
"7",7,6,4.16666666666667,2.16666666666667
"8",8,5,7,4.5
"9",9,7,5.85714285714286,7.47619047619048
"10",10,6,4.5,3.1
"11",11,7,5.71428571428571,2.57142857142857
"12",12,6,6.5,5.9
"13",13,7,6.28571428571429,9.23809523809524
"14",14,8,6.875,10.4107142857143
"15",15,8,5,7.71428571428571
"16",16,8,7.875,7.83928571428571
"17",17,6,4.33333333333333,3.86666666666667
"18",18,8,6.75,5.92857142857143
"19",19,7,5.71428571428571,9.57142857142857
"20",20,5,5.6,0.3
"21",21,6,6.66666666666667,3.86666666666667
"22",22,7,6.57142857142857,4.95238095238095
"23",23,8,6.75,3.92857142857143
"24",24,5,6.2,1.2
"25",25,8,6.25,4.5
"26",26,5,6.2,9.7
"27",27,9,5.77777777777778,3.44444444444444
"28",28,9,5.33333333333333,8
"29",29,6,6.66666666666667,3.06666666666667
"30",30,5,6.2,4.2
"31",31,5,5.4,6.3
"32",32,4,5,7.33333333333333
"33",33,4,6.25,10.25
"34",34,6,5.33333333333333,3.86666666666667
"35",35,5,6.6,7.8
"36",36,4,6.75,5.58333333333333
"37",37,8,5,5.42857142857143
"38",38,7,6,9.33333333333333
"39",39,3,4.33333333333333,6.33333333333333
"40",40,5,5.4,2.3
"41",41,9,5.33333333333333,5.5
"42",42,5,6,5.5
"43",43,9,6.22222222222222,1.69444444444444
"44",44,7,5.42857142857143,2.61904761904762
"45",45,6,7.16666666666667,5.36666666666667
"46",46,5,5.8,5.7
"47",47,5,4.2,4.7
"48",48,8,4.75,9.07142857142857
"49",49,8,6.25,2.78571428571429
"50",50,8,6.5,9.42857142857143
"51",51,8,7.125,6.125
"52",52,9,6.22222222222222,7.44444444444444
"53",53,5,7.2,5.2
"54",54,5,6.4,4.3
"55",55,6,5.66666666666667,5.46666666666667
"56",56,7,6.28571428571429,3.23809523809524
"57",57,6,7.66666666666667,9.86666666666667
"58",58,5,3.6,4.3
